name,source,object,program_sections,attach_status,show_has_xdp,detach_status,failure_excerpt
basic_match,examples/basic_match.ks,results/build/examples/basic_match/basic_match.ebpf.o,xdp,ok,True,ok,
break_continue_unbound,examples/break_continue_unbound.ks,results/build/examples/break_continue_unbound/break_continue_unbound.ebpf.o,xdp,ok,True,ok,
dynptr,examples/dynptr.ks,results/build/examples/dynptr/dynptr.ebpf.o,xdp,ok,True,ok,
error_handling_demo,examples/error_handling_demo.ks,results/build/examples/error_handling_demo/error_handling_demo.ebpf.o,xdp,ok,True,ok,
extern_kfunc_demo,examples/extern_kfunc_demo.ks,results/build/examples/extern_kfunc_demo/extern_kfunc_demo.ebpf.o,xdp,ok,True,ok,
functions,examples/functions.ks,results/build/examples/functions/functions.ebpf.o,xdp,ok,True,ok,
import_demo,examples/import_demo.ks,results/build/examples/import_demo/import_demo.ebpf.o,xdp,ok,True,ok,
include_demo,examples/include_demo.ks,results/build/examples/include_demo/include_demo.ebpf.o,xdp,ok,True,ok,
named_return,examples/named_return.ks,results/build/examples/named_return/named_return.ebpf.o,xdp,ok,True,ok,
packet_filter,examples/packet_filter.ks,results/build/examples/packet_filter/packet_filter.ebpf.o,xdp,ok,True,ok,
pattern_test,examples/pattern_test.ks,results/build/examples/pattern_test/pattern_test.ebpf.o,xdp,ok,True,ok,
pointer_simple,examples/pointer_simple.ks,results/build/examples/pointer_simple/pointer_simple.ebpf.o,xdp,ok,True,ok,
print_demo,examples/print_demo.ks,results/build/examples/print_demo/print_demo.ebpf.o,xdp,ok,True,ok,
rate_limiter,examples/rate_limiter.ks,results/build/examples/rate_limiter/rate_limiter.ebpf.o,xdp,ok,True,ok,
simple_gfp_test,examples/simple_gfp_test.ks,results/build/examples/simple_gfp_test/simple_gfp_test.ebpf.o,xdp,ok,True,ok,
simple_program_lifecycle,examples/simple_program_lifecycle.ks,results/build/examples/simple_program_lifecycle/simple_program_lifecycle.ebpf.o,xdp,ok,True,ok,
string_test,examples/string_test.ks,results/build/examples/string_test/string_test.ebpf.o,xdp,ok,True,ok,
sysctl_demo,examples/sysctl_demo.ks,results/build/examples/sysctl_demo/sysctl_demo.ebpf.o,xdp,ok,True,ok,
tail_call,examples/tail_call.ks,results/build/examples/tail_call/tail_call.ebpf.o,xdp,ok,True,ok,
test_config,examples/test_config.ks,results/build/examples/test_config/test_config.ebpf.o,xdp,ok,True,ok,
test_error_handling,examples/test_error_handling.ks,results/build/examples/test_error_handling/test_error_handling.ebpf.o,xdp,ok,True,ok,
test_exec,examples/test_exec.ks,results/build/examples/test_exec/test_exec.ebpf.o,xdp,ok,True,ok,
test_functions,examples/test_functions.ks,results/build/examples/test_functions/test_functions.ebpf.o,xdp,ok,True,ok,
type_alias,examples/type_alias.ks,results/build/examples/type_alias/type_alias.ebpf.o,xdp,ok,True,ok,
type_checking,examples/type_checking.ks,results/build/examples/type_checking/type_checking.ebpf.o,xdp,ok,True,ok,
types_demo,examples/types_demo.ks,results/build/examples/types_demo/types_demo.ebpf.o,xdp,ok,True,ok,
userspace_example,examples/userspace_example.ks,results/build/examples/userspace_example/userspace_example.ebpf.o,xdp,ok,True,ok,
