name,source,ks_status,make_status,classification,ks_time_sec,make_time_sec,ks_sloc,generated_sloc,userspace_c_sloc,ebpf_c_sloc,module_c_sloc,makefile_sloc,ebpf_object_bytes,ebpf_instruction_count,generated_to_ks_ratio,feature_xdp,feature_tc,feature_probe,feature_tracepoint,feature_perf_event,feature_kfunc,feature_struct_ops,feature_ringbuf,feature_tail_call,feature_dynptr,feature_maps,feature_userspace,failure_excerpt
basic_match,examples/basic_match.ks,ok,ok,success,0.004,0.3756,60,551,413,101,0,37,8136,15,9.18,True,False,False,False,False,False,False,False,True,False,False,True,
break_continue_unbound,examples/break_continue_unbound.ks,ok,ok,success,0.003,0.3424,37,512,390,85,0,37,9744,37,13.84,True,False,False,False,False,False,False,False,False,False,True,True,
dynptr,examples/dynptr.ks,ok,ok,success,0.0024,0.3002,25,122,5,80,0,37,11536,59,4.88,True,False,False,False,False,False,False,False,False,True,True,False,
error_handling_demo,examples/error_handling_demo.ks,ok,ok,success,0.0027,0.3163,26,143,47,59,0,37,7840,22,5.5,True,False,False,False,False,False,False,False,False,False,True,True,
extern_kfunc_demo,examples/extern_kfunc_demo.ks,ok,ok,success,0.0023,0.3054,15,112,27,48,0,37,5728,7,7.47,True,False,False,False,False,True,False,False,False,False,False,True,
functions,examples/functions.ks,ok,ok,success,0.0027,0.3156,43,151,65,49,0,37,6048,7,3.51,True,False,False,False,False,False,False,False,False,False,False,True,
import_demo,examples/import_demo.ks,ok,ok,success,0.0026,0.4684,30,572,469,64,0,39,7136,14,19.07,True,False,False,False,False,False,False,False,False,False,False,True,
include_demo,examples/include_demo.ks,ok,ok,success,0.0025,0.3042,17,127,30,60,0,37,6200,8,7.47,True,False,False,False,False,False,False,False,False,False,False,True,
local_global_vars,examples/local_global_vars.ks,ok,ok,success,0.0023,0.3568,27,472,378,57,0,37,5536,0,17.48,True,False,False,False,False,False,False,False,False,False,False,True,
map_operations_demo,examples/map_operations_demo.ks,ok,ok,success,0.0175,0.5436,123,2292,531,1724,0,37,1057200,1882,18.63,True,True,True,True,False,False,False,True,False,False,True,True,
maps_demo,examples/maps_demo.ks,ok,ok,success,0.0028,0.3608,80,746,535,174,0,37,21896,123,9.32,True,True,False,False,False,False,False,False,False,False,True,True,
multi_programs,examples/multi_programs.ks,ok,ok,success,0.0022,0.3567,26,551,451,63,0,37,11456,26,21.19,True,True,False,False,False,False,False,False,False,False,True,True,
named_return,examples/named_return.ks,ok,ok,success,0.003,0.3173,114,266,150,79,0,37,7448,23,2.33,True,False,False,False,False,False,False,False,False,False,False,True,
object_allocation,examples/object_allocation.ks,ok,ok,success,0.0023,0.3568,48,544,389,118,0,37,10944,50,11.33,True,False,False,False,False,False,False,False,False,False,True,True,
packet_filter,examples/packet_filter.ks,ok,ok,success,0.0021,0.3495,17,458,374,47,0,37,5704,7,26.94,True,False,False,False,False,False,False,False,False,False,False,True,
