repo,repo_commit,path,role,sloc,sections,feature_xdp,feature_tc,feature_tracepoint,feature_kprobe,feature_uprobe,feature_perf_event,feature_lsm,feature_iterator,feature_socket,feature_maps,feature_ringbuf,feature_tail_call,feature_struct_ops,feature_sched_ext,feature_kfunc
libbpf-bootstrap,fac4e8ddf011,examples/c/bootstrap.bpf.c,kernel,76,.maps license tp/sched/sched_process_exec tp/sched/sched_process_exit,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/bootstrap.c,userspace,135,,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/bootstrap.h,header,14,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/bootstrap_legacy.bpf.c,kernel,71,.maps license tp/sched/sched_process_exec tp/sched/sched_process_exit,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/bootstrap_legacy.c,userspace,134,,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/fentry.bpf.c,kernel,20,fentry/do_unlinkat fexit/do_unlinkat license,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/fentry.c,userspace,46,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/kprobe.bpf.c,kernel,23,kprobe/do_unlinkat kretprobe/do_unlinkat license,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/kprobe.c,userspace,46,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/ksyscall.bpf.c,kernel,33,ksyscall/kill ksyscall/tgkill license,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/ksyscall.c,userspace,46,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/lsm.bpf.c,kernel,13,license lsm/bpf,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/lsm.c,userspace,34,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/minimal.bpf.c,kernel,13,license tp/syscalls/sys_enter_write,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/minimal.c,userspace,40,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/minimal_legacy.bpf.c,kernel,24,.maps license tp/syscalls/sys_enter_write,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/minimal_legacy.c,userspace,43,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/minimal_ns.bpf.c,kernel,17,license tp/syscalls/sys_enter_write,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/minimal_ns.c,userspace,47,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/profile.bpf.c,kernel,30,.maps license perf_event,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/profile.c,userspace,226,,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/profile.h,header,19,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/sockfilter.bpf.c,kernel,50,.maps license socket,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/sockfilter.c,userspace,164,,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/sockfilter.h,header,14,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/task_iter.bpf.c,kernel,50,.maps iter/task license,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/task_iter.c,userspace,103,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/task_iter.h,header,10,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/tc.bpf.c,kernel,25,license tc,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
libbpf-bootstrap,fac4e8ddf011,examples/c/tc.c,userspace,63,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
