name,source,category,expected,observed,matched,returncode,elapsed_sec,expected_substrings,diagnostic_excerpt
valid_pass,experiments/static_checks/valid_pass.ks,positive_control,success,success,True,0,0.004,,
arith_bool,experiments/static_checks/arith_bool.ks,type_system,failure,failure,True,1,0.0018,Cannot unify types for arithmetic operation," Found 0 config declarations
Phase 4: Type Checking
 Type error in phase Type Checking at :0:-1: Cannot unify types for arithmetic operation"
attach_without_load,experiments/static_checks/attach_without_load.ks,lifecycle_api,failure,failure,True,1,0.0022,"attach() requires (handle, target, flags)"," Found 0 config declarations
Phase 4: Type Checking
 Type error in phase Type Checking at :0:-1: attach() requires (handle, target, flags) - target is a string or perf_options { ... }"
attach_integer_handle,experiments/static_checks/attach_integer_handle.ks,lifecycle_api,failure,failure,True,1,0.0019,"attach() requires (handle, target, flags)"," Found 0 config declarations
Phase 4: Type Checking
 Type error in phase Type Checking at :0:-1: attach() requires (handle, target, flags) - target is a string or perf_options { ... }"
config_write_ebpf,experiments/static_checks/config_write_ebpf.ks,config_boundary,failure,failure,True,1,0.0017,Config field assignments are not allowed in eBPF programs," Found 1 config declarations
Phase 4: Type Checking
 Type error in phase Type Checking at :0:-1: Config field assignments are not allowed in eBPF programs. Config fields can only be modified from userspace code."
detach_string,experiments/static_checks/detach_string.ks,lifecycle_api,failure,failure,True,1,0.0016,detach() requires a ProgramHandle or PerfAttachment," Found 0 config declarations
Phase 4: Type Checking
 Type error in phase Type Checking at :0:-1: detach() requires a ProgramHandle or PerfAttachment"
detach_integer,experiments/static_checks/detach_integer.ks,lifecycle_api,failure,failure,True,1,0.0016,detach() requires a ProgramHandle or PerfAttachment," Found 0 config declarations
Phase 4: Type Checking
 Type error in phase Type Checking at :0:-1: detach() requires a ProgramHandle or PerfAttachment"
duplicate_main,experiments/static_checks/duplicate_main.ks,symbol_validation,failure,failure,True,1,0.0016,Duplicate main function," KernelScript Compiler
========================
 Source: /home/yunwei37/workspace/kernel-script-paper/experiments/static_checks/duplicate_main.ks
Phase 1: Parsing
 Successfully parsed 2 declarations
Phase 1.5: Import Resolution
 Resolved 0 imports
Phase 1.6: Include Processing"
fn_wrong_arg_type,experiments/static_checks/fn_wrong_arg_type.ks,type_system,failure,failure,True,1,0.0013,Type mismatch in function call: add_one," Found 0 config declarations
Phase 4: Type Checking
 Type error in phase Type Checking at :0:-1: Type mismatch in function call: add_one"
load_string,experiments/static_checks/load_string.ks,lifecycle_api,failure,failure,True,1,0.0018,Type mismatch in function call: load," Found 0 config declarations
Phase 4: Type Checking
 Type error in phase Type Checking at :0:-1: Type mismatch in function call: load"
