name,source,make_status,classification,object,program_sections,section_kinds,program_count,pinned_program_count,load_status,failure_class,failure_excerpt
basic_match,examples/basic_match.ks,ok,success,results/build/examples/basic_match/basic_match.ebpf.o,xdp,xdp,1,3,ok,,
break_continue_unbound,examples/break_continue_unbound.ks,ok,success,results/build/examples/break_continue_unbound/break_continue_unbound.ebpf.o,xdp,xdp,1,1,ok,,
dynptr,examples/dynptr.ks,ok,success,results/build/examples/dynptr/dynptr.ebpf.o,xdp,xdp,1,1,ok,,
error_handling_demo,examples/error_handling_demo.ks,ok,success,results/build/examples/error_handling_demo/error_handling_demo.ebpf.o,xdp,xdp,1,1,ok,,
extern_kfunc_demo,examples/extern_kfunc_demo.ks,ok,success,results/build/examples/extern_kfunc_demo/extern_kfunc_demo.ebpf.o,xdp,xdp,1,1,ok,,
functions,examples/functions.ks,ok,success,results/build/examples/functions/functions.ebpf.o,xdp,xdp,1,1,ok,,
import_demo,examples/import_demo.ks,ok,success,results/build/examples/import_demo/import_demo.ebpf.o,xdp,xdp,1,1,ok,,
include_demo,examples/include_demo.ks,ok,success,results/build/examples/include_demo/include_demo.ebpf.o,xdp,xdp,1,1,ok,,
local_global_vars,examples/local_global_vars.ks,ok,success,results/build/examples/local_global_vars/local_global_vars.ebpf.o,xdp,xdp,1,0,failed,no_program_pinned,"libbpf: elf: skipping section(3) xdp (size 0)
libbpf: Error loading ELF section .BTF.ext: -EINVAL. Ignored and continue.

No BPF programs were pinned under the program pin directory."
map_operations_demo,examples/map_operations_demo.ks,ok,success,results/build/examples/map_operations_demo/map_operations_demo.ebpf.o,xdp tc/ingress tracepoint/syscalls/sys_enter_open fentry/vfs_read,fentry tc tracepoint xdp,4,4,ok,,
maps_demo,examples/maps_demo.ks,ok,success,results/build/examples/maps_demo/maps_demo.ebpf.o,xdp tc/ingress,tc xdp,2,2,ok,,
multi_programs,examples/multi_programs.ks,ok,success,results/build/examples/multi_programs/multi_programs.ebpf.o,xdp tc/ingress,tc xdp,2,2,ok,,
named_return,examples/named_return.ks,ok,success,results/build/examples/named_return/named_return.ebpf.o,xdp,xdp,1,1,ok,,
object_allocation,examples/object_allocation.ks,ok,success,results/build/examples/object_allocation/object_allocation.ebpf.o,xdp,xdp,1,0,failed,verifier_reference_leak,"libbpf: prog 'packet_inspector': BPF program load failed: -EINVAL
libbpf: prog 'packet_inspector': -- BEGIN PROG LOAD LOG --
0: R1=ctx() R10=fp0
; enum xdp_action packet_inspector(struct xdp_md* ctx) { @ object_allocation.ebpf.c:79
0: (b7) r1 = 134744072                ; R1_w=0x8080808
; __u32 src_ip = 0x08080808; @ object_allocation.ebpf.c:88
1: (63) *(u32 *)(r10 -4) = r1         ; R1_w=0x8080808 R10=fp0 fp-8=mmmm????
2: (bf) r2 = r10                      ; R2_w=fp0 R10=fp0
;  @ object_allocation.ebpf.c:0
3: (07) r2 += -4                      ; R2_w=fp-4
; __map_lookup_0 = bpf_map_lookup_elem(&conn_tracker, &src_ip); @ object_allocation.ebpf.c:90
4: (18) r1 = 0xffff89769f050800       ; R1_w=map_ptr(map=conn_tracker,ks=4,vs=8)"
